Recording,Participant,Timeline,TOI,Interval,Media,AOI,Chin,Forehead,L_Cheek,L_Ear,L_Eye,Mouth,Nose,R_Cheek,R_Ear,R_Eye,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Mouth,,,,,,Mouth,,,,,Space,717,239,150,375,3,326010,375,Mouth,,3.11627,525,262,150,375,2,326010,375,3.07426,958,479,375,583,2,326010,375,1008,504,400,608,2,325985,400,0,,,0,,,0,325985,326385,210.87,72.79,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Mouth,,,,,,Mouth,,,,,Space,767,256,167,367,3,264900,167,Mouth,,2.91829,767,256,167,367,3,264900,167,2.91829,767,256,167,367,3,264900,167,858,286,183,408,3,264883,183,0,,,0,,,0,266617,266883,128.81,123.02,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,2458,273,67,500,9,304196,217,Mouth,,2.87503,2208,276,67,500,8,304196,217,2.8787,2641,528,67,867,5,304196,217,2783,557,108,892,5,304179,233,0,,,0,,,3,304804,304412,181.43,139.75,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1767,196,98,375,9,342052,245,Mouth,,3.01355,1425,204,100,375,7,343780,225,2.98115,2067,689,245,1233,3,342052,245,2159,720,245,1283,3,342052,245,0,,,0,,,5,343730,342297,164.09,121.92,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1862,207,117,467,9,423851,121,Mouth,,3.02513,1600,229,117,467,7,424730,142,3.0048,1954,391,121,875,5,423851,121,2054,411,121,908,5,423851,121,0,,,0,,,4,424688,424872,107.42,288.81,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1309,187,8,367,7,228937,251,Mouth,,2.97557,1050,210,92,367,5,229863,92,2.92924,1442,288,8,483,5,228937,251,1542,308,33,500,5,228937,251,0,,,0,,,1,229829,229188,224.81,153.05,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1966,246,83,575,8,188042,125,Mouth,,2.83658,1966,246,83,575,8,188042,125,2.83658,2091,418,83,958,5,188042,125,2208,442,133,975,5,188034,133,0,,,0,,,2,188692,188167,112.17,150.01,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,2641,293,150,550,9,444728,150,Mouth,,2.95469,2641,293,150,550,9,444728,150,2.95469,2741,548,150,1408,5,444728,150,2900,580,167,1433,5,444711,167,0,,,0,,,3,445578,445802,177.96,99.76,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1895,211,62,483,9,286569,62,Mouth,,2.94289,1833,229,67,483,8,287431,92,2.93527,1978,396,62,1275,5,286569,62,2087,417,62,1325,5,286569,62,0,,,0,,,4,288181,286631,81.74,58.14,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1583,264,117,683,6,363586,208,Mouth,,3.03157,1583,264,117,683,6,363586,208,3.03157,1625,325,175,683,5,363586,208,1775,355,192,717,5,363570,225,0,,,0,,,1,364136,363795,163.53,176.07,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,600,300,158,442,2,487617,158,Mouth,,2.94619,600,300,158,442,2,487617,158,2.94619,600,300,158,442,2,487617,158,658,329,183,475,2,487592,183,0,,,0,,,0,487592,487775,95,199,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1359,194,39,333,7,143004,304,Mouth,,2.94752,1017,203,117,333,5,144149,167,2.87724,1417,283,117,433,5,143004,304,1534,307,158,450,5,143004,304,0,,,0,,,2,144124,143308,255.08,114.16,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1614,179,75,333,9,405534,239,Mouth,,3.07483,1375,172,75,333,8,406432,100,3.05104,1681,240,75,683,7,405534,239,1889,270,100,717,7,405534,239,0,,,0,,,2,406374,405774,147.16,66.12,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1420,203,67,433,7,204020,237,Mouth,,3.01361,1067,213,67,433,5,205190,300,3.04653,1437,239,67,608,6,204020,237,1570,262,83,650,6,204020,237,0,,,0,,,1,205157,204257,118.87,163.49,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,2175,155,43,267,14,166887,57,Mouth,,2.97886,2075,173,67,267,12,166995,150,2.97419,2475,413,192,725,6,166887,257,2659,443,233,775,6,166887,257,0,,,0,,,4,167761,167145,211.34,117.47,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1900,237,142,392,8,382813,150,Mouth,,2.82051,1900,237,142,392,8,382813,150,2.82051,1983,397,142,908,5,382813,150,2150,430,167,950,5,382797,167,0,,,0,,,3,383280,382963,71.2,105.24,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,2434,270,108,683,9,470417,135,Mouth,,2.94688,2175,311,108,683,7,471369,217,2.92817,2609,652,124,1758,4,470417,135,2692,673,135,1791,4,470417,135,0,,,0,,,4,473635,,150.73,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,1784,178,16,400,10,324619,16,Mouth,,3.09556,1625,203,125,400,8,325285,125,3.08685,1817,202,16,600,9,324619,16,2009,223,16,625,9,324619,16,0,,,0,,,1,326385,325985,72.79,210.87,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",Nose,,,,,,,Nose,,,,Space,2431,270,67,475,9,263969,247,Mouth,,2.94729,2183,273,67,475,8,264775,67,2.92809,2539,635,67,1541,4,263969,247,2622,656,92,1566,4,263969,247,0,,,0,,,5,265900,264217,86.85,131.28,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,158,158,158,158,1,191750,158,Mouth,,2.85455,158,158,158,158,1,191750,158,2.85455,158,158,158,158,1,191750,158,200,200,200,200,1,191709,200,0,,,0,,,0,191709,,235.58,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,275,275,275,275,1,388913,275,Mouth,,2.961,275,275,275,275,1,388913,275,2.961,275,275,275,275,1,388913,275,317,317,317,317,1,388871,317,0,,,0,,,0,388871,389188,134.51,249.71,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,0,,,,0,,,Mouth,,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
CREBBP_1,CREBBP,Main Trial,Entire Recording,1,"fixation cross,Questions 1,Questions 2,Questions 3,Questions 4,Questions 5,Questions 6,Questions 7,Questions 8,Questions 9,Questions 10,Questions 11,Questions 12,Questions 13,Questions 14,Questions 15,Questions 16,Questions 17,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,Slide 9,Slide 10,Slide 11,Slide 12,Slide 13,Slide 14,Slide 15,Slide 16,Slide 17",R_Cheek,,,,,,,,R_Cheek,,,Space,100,100,100,100,1,268900,100,Mouth,,3.04366,100,100,100,100,1,268900,100,3.04366,100,100,100,100,1,268900,100,142,142,142,142,1,268858,142,0,,,0,,,0,268858,269000,226.18,115.66,,,,,,,,,,,,,
